fold_id,train_start,train_end,cal_start,cal_end,test_start,test_end,strategy,total_profit,terminal_value,total_profit_with_terminal,max_drawdown,max_equity_drawdown,grid_throughput_kwh,equivalent_cycles,profit_per_cycle,profit_drawdown_ratio
25,2025-01-21,2025-04-21,2025-04-21,2025-05-05,2025-05-05,2025-05-12,baseline,53.66875488271602,0.0,53.66875488271602,0.5171620833333392,15.634295061728395,704.2906378600825,3.5214531893004124,15.240513503284165,3.432758219722563
25,2025-01-21,2025-04-21,2025-04-21,2025-05-05,2025-05-05,2025-05-12,conformal,-9.026718616661157,7.715435851971785,-1.3112827646893717,9.498173116661158,29.395339498145226,771.6173712041152,3.858086856020576,-2.3396877658611777,-0.3070799239189165
26,2025-02-20,2025-05-21,2025-05-21,2025-06-04,2025-06-04,2025-06-11,baseline,50.59047208333334,0.0,50.59047208333334,1.0060722222222367,12.20860861111111,815.9259259259261,4.079629629629631,12.400751214253289,4.143836017258406
26,2025-02-20,2025-05-21,2025-05-21,2025-06-04,2025-06-04,2025-06-11,conformal,-3.9513407882756835,15.313510991675118,11.362170203399435,4.527966148371632,40.38137732845705,120.21788568913799,0.6010894284456899,-6.5736321440441,-0.09785056998269212
27,2025-03-22,2025-06-20,2025-06-20,2025-07-04,2025-07-04,2025-07-11,baseline,78.09779101723254,0.88605,78.98384101723254,2.1383523611110604,22.441904629629626,1058.783436213992,5.29391718106996,14.752363579939514,3.4799983471153997
27,2025-03-22,2025-06-20,2025-06-20,2025-07-04,2025-07-04,2025-07-11,conformal,-15.607964730041738,0.7956674780150428,-14.812297252026696,15.047405321783199,38.68866578914478,474.5136568868571,2.3725682844342857,-6.5785102297965246,-0.403424734652416
28,2025-04-21,2025-07-20,2025-07-20,2025-08-03,2025-08-03,2025-08-10,baseline,62.6031434393004,0.6608066666666697,63.263950105967076,2.567377916666672,21.651894804526748,809.3523662551441,4.04676183127572,15.469935234504545,2.8913471086240454
28,2025-04-21,2025-07-20,2025-07-20,2025-08-03,2025-08-03,2025-08-10,conformal,-12.108054855624168,7.988515472637368,-4.1195393829868,12.143089404549528,43.82390897983609,541.4383130032322,2.7071915650161613,-4.47255192875569,-0.2762887916090559
29,2025-05-21,2025-08-19,2025-08-19,2025-09-02,2025-09-02,2025-09-09,baseline,45.44665230452675,4.95,50.396652304526754,2.0122187500000006,20.21729296296296,651.4403292181072,3.257201646090536,13.952667732154135,2.2479098654692633
29,2025-05-21,2025-08-19,2025-08-19,2025-09-02,2025-09-02,2025-09-09,conformal,-25.622929297760006,4.5542423296783285,-21.06868696808168,25.19174975497621,39.99168676661834,1053.796479421616,5.268982397108079,-4.862974928863559,-0.6407063909879351
30,2025-06-20,2025-09-18,2025-09-18,2025-10-02,2025-10-02,2025-10-09,baseline,46.1928498625,1.881,48.0738498625,0.1970341666666684,15.432317916666669,731.6054526748974,3.658027263374487,12.627803604691465,2.993254163887618
30,2025-06-20,2025-09-18,2025-09-18,2025-10-02,2025-10-02,2025-10-09,conformal,-12.388468552798468,1.702005748602076,-10.686462804196392,14.80692864790731,43.423314083175796,1431.7620153616144,7.158810076808072,-1.730520633999298,-0.28529532612524233
31,2025-07-20,2025-10-18,2025-10-18,2025-11-01,2025-11-01,2025-11-08,baseline,56.53706656080246,-0.6435,55.893566560802455,0.00016833333333465816,9.728999999999996,1033.737654320988,5.16868827160494,10.938378093219194,5.811189902436271
31,2025-07-20,2025-10-18,2025-10-18,2025-11-01,2025-11-01,2025-11-08,conformal,-36.34580048110198,-0.6256021593260269,-36.97140264042801,35.933334212669926,45.40175322748927,1372.05271993926,6.8602635996962995,-5.298018064890537,-0.8005373779067146
32,2025-08-19,2025-11-17,2025-11-17,2025-12-01,2025-12-01,2025-12-08,baseline,62.33451977500007,0.0,62.33451977500007,0.0,13.588999999999999,1070.666666666667,5.353333333333335,11.644057243150693,4.587130750975059
32,2025-08-19,2025-11-17,2025-11-17,2025-12-01,2025-12-01,2025-12-08,conformal,-20.274067720795344,7.12153019705494,-13.152537523740403,21.165299568883544,31.857003045308986,1426.128121909625,7.1306406095481245,-2.8432323028099056,-0.636408506222645
33,2025-09-18,2025-12-17,2025-12-17,2025-12-31,2025-12-31,2026-01-07,baseline,17.208998074074074,0.0,17.208998074074074,0.0,22.682,393.2201646090536,1.966100823045268,8.752856350173987,0.7587072601214212
33,2025-09-18,2025-12-17,2025-12-17,2025-12-31,2025-12-31,2026-01-07,conformal,-17.99187934937846,7.332577508152663,-10.659301841225798,18.416060366629736,21.223296796526387,1177.2645832671642,5.886322916335821,-3.0565566322308104,-0.8477419659099894
34,2025-10-18,2026-01-16,2026-01-16,2026-01-30,2026-01-30,2026-02-06,baseline,21.53252569722224,0.0,21.53252569722224,0.0,10.570999999999998,372.08487654320993,1.8604243827160496,11.573985966463587,2.0369431177014703
34,2025-10-18,2026-01-16,2026-01-16,2026-01-30,2026-01-30,2026-02-06,conformal,-19.189458031719607,9.532551403550077,-9.65690662816953,19.415521948207076,122.24003143454877,751.627276871231,3.758136384356155,-5.106110068702882,-0.1569817825349158
